     Created from separation_var program

         Parameter: 

 Bi =         74.3
 Fo =          0.5

   Coordinate step:  100
         Time step:  100

 ------------------------------
                      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.001      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.002      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.003      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.004      0.005      0.005      0.005      0.005      0.005      0.005      0.005      0.005      0.005      0.005

   11     2.8580 |  20.2307154 20.2319975 20.2358530 20.2423097 20.2514139 20.2632307 20.2778438 20.2953561 20.3158898 20.3395863 20.3666072 20.3971351 20.4313703 20.4695336 20.5118735 20.5586537 20.6101620 20.6667087 20.7286267 20.7962725 20.8700260 20.9502913 21.0374969 21.1320958 21.2345661 21.3454109 21.4651588 21.5943635 21.7336044 21.8834859 22.0446377 22.2177143 22.4033948 22.6023792 22.8153997 23.0432066 23.2865636 23.5462660 23.8231250 24.1179706 24.4316495 24.7650235 25.1189682 25.4949524 25.8921272 26.3131418 26.7583229 27.2285812 27.7248271 28.2479673 28.7989024 29.3785232 29.9877078 30.6273179 31.2981956 32.0011634 32.7370054 33.5064828 34.3103293 35.1492292 36.0238287 36.9347275 37.8824759 38.8675706 39.8904511 40.9514962 42.0510204 43.1892709 44.3664238 45.5825817 46.8377707 48.1319378 49.4649486 50.8365850 52.2465439 53.6944351 55.1797808 56.7020141 58.2604764 59.8544293 61.4830306 63.1453588 64.8404026 66.5670638 68.3241597 70.1104247 71.9245129 73.7650011 75.6303917 77.5191163 79.4295395 81.3599633 83.3086314 85.2737337 87.2534119 89.2457643 91.2488513 93.2607015 95.2793168 97.3026789
   12     3.1438 |  20.3809777 20.3827395 20.3880352 20.3968948 20.4093688 20.4255277 20.4454625 20.4692844 20.4971252 20.5291375 20.5654947 20.6063908 20.6520412 20.7026827 20.7585727 20.8199922 20.8872423 20.9606467 21.0405510 21.1273232 21.2213535 21.3230544 21.4328611 21.5512307 21.6786431 21.8155999 21.9626249 22.1202636 22.2890829 22.4696706 22.6626351 22.8686041 23.0882261 23.3221668 23.5711098 23.8357554 24.1168202 24.4150329 24.7311374 25.0658887 25.4200517 25.7943999 26.1897131 26.6069941 27.0463763 27.5093016 27.9963383 28.5082686 29.0458681 29.6099036 30.2011299 30.8202877 31.4681001 32.1452704 32.8524797 33.5903805 34.3595988 35.1607281 35.9943258 36.8609138 37.7609707 38.6949318 39.6631855 40.6660708 41.7038739 42.7768261 43.8851011 45.0288124 46.2080113 47.4226845 48.6727524 49.9580675 51.2784123 52.6334985 54.0229656 55.4463805 56.9032360 58.3929508 59.9148715 61.4682687 63.0523408 64.6662124 66.3089378 67.9795007 69.6768160 71.3997318 73.1470316 74.9174368 76.7096091 78.5221537 80.3536224 82.2025169 84.0672929 85.9463632 87.8381024 89.7408508 91.6529187 93.5725912 95.4981326 97.4277909
   13     3.4296 |  20.5803483 20.5826188 20.5894407 20.6008451 20.6168845 20.6376317 20.6631805 20.6936458 20.7291632 20.7698895 20.8160024 20.8677004 20.9252034 20.9887521 21.0586083 21.1350548 21.2183954 21.3089548 21.4070786 21.5131330 21.6275048 21.7506016 21.8828507 22.0246995 22.1766149 22.3390831 22.5126092 22.6977165 22.8949460 23.1048561 23.3280213 23.5650320 23.8164934 24.0830246 24.3652574 24.6638357 24.9794138 25.3126554 25.6642320 26.0348218 26.4251080 26.8357771 27.2675170 27.7210972 28.1969590 28.6960289 29.2189011 29.7662435 30.3387132 30.9369553 31.5615995 32.2132587 32.8925261 33.5999732 34.3361468 35.1015672 35.8967253 36.7220804 37.5780577 38.4650459 39.3833949 40.3334134 41.3153668 42.3294749 43.3759100 44.4547946 45.5661998 46.7101434 47.8865884 49.0954411 50.3365505 51.6097064 52.9146386 54.2510165 55.6184477 57.0164778 58.4445911 59.9022088 61.3886904 62.9033340 64.4453762 66.0139937 67.6083038 69.2273659 70.8701829 72.5357028 74.2228208 75.9303812 77.6571796 79.4019658 81.1634459 82.9402858 84.7311134 86.5345227 88.3490762 90.1733090 92.0057321 93.8448357 95.6890937 97.5369667
   14     3.7154 |  20.8306278 20.8334151 20.8417872 20.8557755 20.8754318 20.9008290 20.9320607 20.9692409 21.0125047 21.0620074 21.1179253 21.1804547 21.2498125 21.3262359 21.4099821 21.5013281 21.6005708 21.7080268 21.8240318 21.9489404 22.0831262 22.2269810 22.3809147 22.5453544 22.7207446 22.9075462 23.1062360 23.3173061 23.5412632 23.7786279 24.0299337 24.2957264 24.5765628 24.8730100 25.1856444 25.5150501 25.8618180 26.2265446 26.6098305 27.0122790 27.4344948 27.8770819 28.3406429 28.8258072 29.3330767 29.8631295 30.4165128 30.9937936 31.5955263 32.2222507 32.8744901 33.5527493 34.2575126 34.9892419 35.7483744 36.5353209 37.3504635 38.1941541 39.0667117 39.9684214 40.8995318 41.8602534 42.8507573 43.8711727 44.9215860 46.0020391 47.1125279 48.2530009 49.4233584 50.6234511 51.8530792 53.1119918 54.3998861 55.7164069 57.0611462 58.4336430 59.8333836 61.2598011 62.7122764 64.1901379 65.6926630 67.2190783 68.7685607 70.3402387 71.9331936 73.5464612 75.1790331 76.8298589 78.4978479 80.1818714 81.8807647 83.5933298 85.3183376 87.0545310 88.8006272 90.5553205 92.3172857 94.0851806 95.8576494 97.6333256
   15     4.0012 |  21.1317741 21.1350698 21.1449671 21.1614961 21.1847075 21.2146717 21.2514794 21.2952412 21.3460877 21.4041691 21.4696554 21.5427358 21.6236192 21.7125333 21.8097246 21.9154584 22.0300181 22.1537053 22.2868389 22.4297555 22.5828079 22.7463659 22.9208146 23.1065546 23.3040014 23.5135843 23.7357460 23.9709422 24.2196402 24.4823183 24.7594653 25.0515791 25.3591659 25.6827392 26.0228185 26.3799285 26.7545979 27.1473576 27.5587401 27.9892779 28.4395020 28.9099406 29.4011175 29.9135622 30.4477512 31.0042205 31.5834498 32.1859182 32.8120908 33.4624173 34.1373301 34.8372426 35.5625478 36.3136164 37.0907949 37.8944044 38.7247386 39.5820624 40.4666102 41.3785843 42.3181537 43.2854523 44.2805778 45.3035904 46.3545113 47.4333220 48.5399628 49.6743320 50.8362853 52.0256345 53.2421475 54.4855471 55.7555112 57.0516721 58.3736165 59.7208854 61.0929742 62.4893333 63.9093677 65.3524383 66.8178621 68.3049130 69.8128231 71.3407833 72.8879448 74.4534201 76.0362850 77.6355797 79.2503106 80.8794523 82.5219494 84.1767185 85.8426503 87.5186121 89.2034497 90.8959901 92.5950438 94.2994072 96.0078654 97.7191947
   16     4.2870 |  21.4823385 21.4861224 21.4974835 21.5164508 21.5430720 21.5774142 21.6195634 21.6696245 21.7277211 21.7939954 21.8686081 21.9517381 22.0435822 22.1443549 22.2542866 22.3736313 22.5026497 22.6416255 22.7908568 22.9506570 23.1213545 23.3032922 23.4968267 23.7023280 23.9201787 24.1507732 24.3945173 24.6518271 24.9231283 25.2088555 25.5094511 25.8253644 26.1570509 26.5049708 26.8695882 27.2513703 27.6507856 28.0683033 28.5043918 28.9595176 29.4341438 29.9287290 30.4437260 30.9795844 31.5367283 32.1155972 32.7166020 33.3401451 33.9866144 34.6563819 35.3498027 36.0672127 36.8089280 37.5752430 38.3664292 39.1827334 40.0243771 40.8915545 41.7844315 42.7031445 43.6477989 44.6184684 45.6151937 46.6379813 47.6868029 48.7615942 49.8622544 50.9886453 52.1405907 53.3178757 54.5202468 55.7474108 56.9990353 58.2747479 59.5741366 60.8967498 62.2420963 63.6096458 64.9988292 66.4090392 67.8396308 69.2899224 70.7591961 72.2466990 73.7516445 75.2732128 76.8105531 78.3627841 79.9289961 81.5082522 83.0995902 84.7020243 86.3145467 87.9361299 89.5657282 91.2022800 92.8447099 94.4919307 96.1428456 97.7963502
   17     4.5728 |  21.8798745 21.8841180 21.8968573 21.9181194 21.9479488 21.9864083 22.0335778 22.0895552 22.1544557 22.2284117 22.3115725 22.4041044 22.5061901 22.6180285 22.7398337 22.8718380 23.0142849 23.1674350 23.3315627 23.5069561 23.6939164 23.8927576 24.1038056 24.3273977 24.5638821 24.8136169 25.0769696 25.3543162 25.6460405 25.9525329 26.2741902 26.6114140 26.9646102 27.3341877 27.7205578 28.1241327 28.5453246 28.9845449 29.4422026 29.9187034 30.4144486 30.9298336 31.4652472 32.0210713 32.5976722 33.1954153 33.8146475 34.4557043 35.1189067 35.8045601 36.5129529 37.2443556 37.9990190 38.7771736 39.5790279 40.4047676 41.2545543 42.1285244 43.0267883 43.9494289 44.8965009 45.8680303 46.8640126 47.8844128 48.9291643 49.9981684 51.0912935 52.2083747 53.3492133 54.5135763 55.7011965 56.9117718 58.1449640 59.4004052 60.6776852 61.9763640 63.2959659 64.6359813 65.9958668 67.3750457 68.7729091 70.1888157 71.6220937 73.0720406 74.5379250 76.0189873 77.5144406 79.0234724 80.5452457 82.0789002 83.6235540 85.1783049 86.7422322 88.3143980 89.8938492 91.4796191 93.0707292 94.6661907 96.2650070 97.8661749
   18     4.8586 |  22.3212821 22.3259515 22.3399680 22.3633562 22.3961574 22.4384290 22.4902447 22.5516944 22.6228838 22.7039346 22.7949838 22.8961838 23.0077019 23.1297200 23.2624344 23.4060555 23.5608076 23.7269266 23.9046625 24.0942769 24.2960428 24.5102445 24.7371766 24.9771433 25.2304580 25.4974427 25.7784267 26.0737466 26.3837449 26.7087694 27.0491725 27.4053102 27.7775410 28.1662254 28.5717246 28.9943998 29.4346107 29.8927153 30.3690679 30.8640191 31.3779137 31.9110903 32.4638806 33.0366061 33.6295800 34.2431037 34.8774687 35.5329514 36.2098147 36.9083065 37.6286582 38.3710840 39.1357795 39.9229211 40.7326646 41.5651444 42.4204727 43.2987380 44.2000053 45.1243139 46.0716780 47.0420847 48.0354943 49.0518390 50.0910228 51.1529205 52.2373776 53.3442097 54.4732024 55.6241107 56.7966591 57.9905414 59.2054200 60.4409285 61.6966671 62.9722072 64.2670898 65.5808259 66.9128969 68.2627555 69.6298258 71.0135042 72.4131600 73.8281366 75.2577516 76.7012985 78.1580471 79.6272453 81.1081193 82.5998757 84.1017022 85.6127690 87.1322305 88.6592262 90.1928825 91.7323142 93.2766256 94.8249129 96.3762647 97.9297647
   19     5.1443 |  22.8030807 22.8081398 22.8233244 22.8486570 22.8841750 22.9299307 22.9859910 23.0524377 23.1293666 23.2168880 23.3151264 23.4242196 23.5443193 23.6755900 23.8182092 23.9723668 24.1382647 24.3161164 24.5061461 24.7085891 24.9236905 25.1517050 25.3928961 25.6475357 25.9159033 26.1982853 26.4949746 26.8062693 27.1324726 27.4738917 27.8308368 28.2036207 28.5925577 28.9979627 29.4201506 29.8594351 30.3161278 30.7905375 31.2829691 31.7937224 32.3230918 32.8713647 33.4388208 34.0257307 34.6323556 35.2589459 35.9057407 36.5729658 37.2608338 37.9695425 38.6992742 39.4501949 40.2224532 41.0161793 41.8314847 42.6684606 43.5271778 44.4076854 45.3100105 46.2341572 47.1801061 48.1478136 49.1372115 50.1482062 51.1806788 52.2344838 53.3094497 54.4053781 55.5220434 56.6591931 57.8165475 58.9937991 60.1906138 61.4066297 62.6414577 63.8946821 65.1658604 66.4545239 67.7601779 69.0823022 70.4203517 71.7737572 73.1419255 74.5242407 75.9200647 77.3287380 78.7495809 80.1818940 81.6249596 83.0780426 84.5403915 86.0112397 87.4898069 88.9752998 90.4669137 91.9638338 93.4652366 94.9702909 96.4781596 97.9880008
   20     5.4301 |  23.3216161 23.3270275 23.3432685 23.3703592 23.4083334 23.4572379 23.5171330 23.5880921 23.6702014 23.7635600 23.8682793 23.9844833 24.1123076 24.2518997 24.4034185 24.5670337 24.7429255 24.9312845 25.1323106 25.3462132 25.5732102 25.8135276 26.0673992 26.3350656 26.6167738 26.9127765 27.2233315 27.5487010 27.8891509 28.2449499 28.6163692 29.0036810 29.4071585 29.8270747 30.2637015 30.7173091 31.1881651 31.6765335 32.1826740 32.7068413 33.2492838 33.8102428 34.3899520 34.9886365 35.6065116 36.2437821 36.9006417 37.5772716 38.2738404 38.9905026 39.7273981 40.4846512 41.2623701 42.0606460 42.8795523 43.7191440 44.5794570 45.4605074 46.3622909 47.2847825 48.2279354 49.1916809 50.1759281 51.1805629 52.2054483 53.2504235 54.3153040 55.3998814 56.5039227 57.6271711 58.7693450 59.9301386 61.1092217 62.3062399 63.5208145 64.7525430 66.0009995 67.2657345 68.5462758 69.8421286 71.1527763 72.4776806 73.8162825 75.1680031 76.5322435 77.9083865 79.2957969 80.6938224 82.1017944 83.5190294 84.9448294 86.3784833 87.8192676 89.2664479 90.7192798 92.1770100 93.6388773 95.1041144 96.5719483 98.0416022
